expName,curec_ID,trial_schedule,session_nr,date,end_date,participant,age,gender,max_strength,block_number,trial_count,block_action_type,block_global_effort_state,block_attention_focus,trial_rating,trial_effort,trial_outcome_level,trial_actual_outcome,response,response_time,result,points,cumulative_points,effort_trace,effort_expended,effort_response_time,final_bonus_payment
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,312,avoid,normal,reward,None,80,-40,-38,reject,0.9709773000795394,None,-38,4483,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,313,avoid,normal,reward,None,50,-60,-59,accept,0.9805713999085128,success,0,4483,"[0.7246894552580813, 1.102344523491166, 1.7759995100691008, 1.7759995100691008, 2.3271717718146836, 2.8171026711440907, 3.766343788594817, 3.766343788594817, 5.491308829983771, 7.420411746093311, 8.941238912761678, 8.941238912761678, 11.043859022383717, 14.779582129770446, 17.87227093178733, 17.87227093178733, 20.55668398436304, 24.057648535821095, 27.56881998101518, 30.33488818347912, 32.049646331132045, 32.049646331132045, 35.36688679534157, 37.21433456156288, 38.78619619691139, 40.34785093852388, 40.34785093852388, 42.16467802353709, 43.66509140273341, 44.81847039490472, 44.81847039490472, 46.24743551794882, 46.696538842334114, 48.05405570922601, 49.22784848886938, 49.22784848886938, 50.26895164994437, 50.769089443009804, 51.32026170475539, 51.32026170475539, 51.42233064211569, 51.35088238596348, 52.54508895307891, 52.54508895307891, 53.25957151460096, 53.73929552019434, 53.984260969859044, 53.984260969859044, 53.97405407612301, 54.56605391281272, 55.627570861359764, 55.627570861359764, 56.92384636583549, 57.81184612087004, 58.06701846427077, 58.06701846427077, 57.94453573943842, 57.30150143406857, 56.454329253978145, 56.454329253978145, 55.974605248384755, 55.59695018015167, 55.6377777550958, 55.627570861359764, 55.627570861359764, 55.647984648831816, 55.719432904984025, 55.647984648831816, 55.21929511191858, 55.21929511191858, 55.49488124279138, 56.2706051667296, 56.7911567472671, 56.7911567472671, 56.729915384850926, 56.5461912976024, 56.515570616394314, 56.40329478529799, 56.40329478529799, 55.12743306829433, 55.03557102467006, 55.00495034346198, 54.86205383115757, 54.86205383115757, 54.627295275228896, 54.504812550396544, 54.453778081716386, 54.453778081716386, 54.31088156941198, 54.04550233227522, 53.92301960744287, 53.62701968909802, 53.62701968909802, 53.18812325844876, 52.9941922774642]",54.58630307296645,1.5807067999849096,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,314,avoid,normal,reward,None,95,-60,-57,reject,1.3109946000622585,None,-57,4426,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,315,avoid,normal,reward,None,55,-60,-61,accept,1.102192899910733,success,0,4426,"[0.23475855592867426, 0.2653792371367622, 0.24496544966470354, 0.24496544966470354, 0.2653792371367622, 0.3980688557051432, 0.7655170302021985, 0.7655170302021985, 1.531034060404397, 2.0617925346779216, 2.8375164586161494, 2.8375164586161494, 3.4499300827779087, 5.450481255039654, 7.971584007838894, 7.971584007838894, 9.645514580547703, 13.656823818807224, 16.98427117675278, 19.79116695416084, 19.79116695416084, 22.751166137609342, 26.16026864544313, 29.47750910965266, 29.47750910965266, 30.96771559511294, 33.33571494187174, 36.70398987476141, 38.15336878527758, 38.15336878527758, 40.01102344523491, 42.05240219244077, 43.4201259530687, 44.57350494524002, 44.57350494524002, 47.13543527298337, 48.94205546426056, 50.177089606320116, 50.177089606320116, 51.61626162310024, 53.25957151460096, 53.657640370306105, 54.28026088820389, 54.28026088820389, 54.81101936247742, 54.63750216896492, 55.300950261806825, 56.86260500341931, 57.71998407724577, 57.71998407724577, 57.3117083278046, 58.17929429536709, 58.17929429536709, 59.54701805599502, 60.200259255100896, 60.598328110806044, 60.598328110806044, 61.16991416002367, 60.65956947322222, 60.40439712982148, 60.40439712982148, 60.74122462311045, 61.4557071846325, 61.812948465393525, 61.812948465393525, 61.93543119022588, 62.08853459626632, 61.363845141008234, 61.41487960968839, 61.41487960968839, 61.65984505935309, 61.90481050901779, 62.00687944637808, 61.99667255264205, 61.99667255264205, 61.22094862870383, 60.10839721147663, 59.81239729313178, 59.536811162258985, 59.536811162258985, 59.16936298776193, 59.1591560940259, 58.9141906443612, 57.93432884570239, 57.93432884570239, 56.67888091617078, 56.52577751013034, 56.66867402243475, 56.66867402243475, 56.71970849111489, 57.362742796484746, 57.69957028977372, 57.577087564941365, 57.577087564941365, 57.30150143406857, 56.95446704704358, 56.88301879089137, 57.025915303195774, 57.025915303195774, 56.913639472099455, 56.92384636583549, 57.89350127075827]",58.66313398391854,1.6899876999668777,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,316,avoid,normal,reward,None,65,-100,-115,accept,1.8486254999879748,success,0,4426,"[3.7459300011227583, 4.746205587253631, 5.623998448552152, 6.318067222602146, 7.155032508956549, 7.889928857950659, 8.420687332224185, 9.084135425066089, 10.329376460861665, 12.462617251691793, 16.21875414655058, 19.117511967582907, 22.526614475416697, 25.88468251457034, 30.324681289743094, 31.886336031355576, 36.26509344411215, 37.38785175507538, 38.41874802241434, 39.31695467118492, 40.55198881324446, 42.083022873648865, 43.838608596245905, 48.29902115889072, 48.29902115889072, 49.92191726291937, 50.86095148663408, 52.300123503414206, 53.90260581997081, 54.361916038092126, 54.79060557500536, 56.81157053473916, 59.06729405040164, 60.43501781102957, 61.027017647719276, 61.159707266287654, 61.79253467792147, 63.333775632061894, 64.12991334347218, 65.44660263541996, 66.42646443407878, 66.6408092025354, 66.2937748155104, 66.4366713278148, 67.26342972043318, 67.60025721372214, 67.9677053882192, 68.35556735018832, 68.61073969358905, 68.37598113766037, 68.23308462535597, 68.46784318128464, 68.56991211864494, 69.10067059291846, 69.53956702356771, 69.71308421708021, 68.94756718687802, 69.20273953027875, 69.43749808620743, 69.4272911924714, 69.58039459851183, 69.62122217345595, 69.61101527971992, 68.93736029314199, 68.69239484347729, 68.67198105600522, 68.53929143743684, 68.30453288150818, 68.00853296316332, 67.75336061976259, 67.82480887591478, 67.7941881947067, 67.17156767680892, 66.41625754034276, 66.24274034683026, 66.2937748155104, 66.2223265593582, 65.09956824839497, 65.06894756718687, 65.13018892960305, 65.13018892960305, 65.02811999224276, 63.976809937431746]",67.3283629380305,1.8179967000614852,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,317,avoid,normal,reward,None,75,-20,-21,reject,1.1259003999875858,None,-21,4405,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,318,avoid,normal,reward,0.394,90,-20,-22,reject,1.1448724999791011,None,-22,4383,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,319,avoid,normal,reward,None,80,-60,-52,reject,1.0485957999480888,None,-52,4331,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,320,avoid,normal,reward,None,75,-40,-42,reject,1.8281856999965385,None,-42,4289,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,321,avoid,normal,reward,None,90,-40,-37,reject,1.2832217999966815,None,-37,4252,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,322,avoid,normal,reward,None,60,-60,-59,accept,1.2285188999958336,success,0,4252,"[0.12248272483235177, 0.12248272483235177, 0.10206893736029313, 0.1326896185683811, 0.1531034060404397, 0.1531034060404397, 0.19393098098455697, 0.2959999183448501, 0.2959999183448501, 0.43889643064926054, 0.9594480111867556, 1.6228961040286611, 2.367999346758801, 2.367999346758801, 3.2355853143212925, 4.797240055933778, 4.797240055933778, 6.818205015667582, 8.267583926183745, 8.267583926183745, 9.737376624171965, 11.482755453032977, 14.361099486593245, 16.62702989599175, 16.62702989599175, 18.58675349330938, 20.96495973380421, 23.26151082441081, 23.26151082441081, 25.445786083921078, 27.936268155512234, 29.926612434037946, 29.926612434037946, 30.763577720392355, 31.69240505037102, 33.2540597919835, 35.11171445194084, 36.62233472487318, 36.62233472487318, 37.44909311749156, 38.36771355373419, 39.84771314545844, 39.84771314545844, 40.59281638818859, 42.00136772376063, 42.77709164769885, 42.77709164769885, 43.33847080318047, 43.95088442734223, 44.399987751727515, 44.69598767007237, 44.69598767007237, 45.22674614434589, 46.7271595235422, 47.186469741663515, 47.186469741663515, 48.25819358394659, 49.07474508282894, 49.789227644350994, 49.789227644350994, 50.83033080542598, 51.89184775397303, 52.61653720923112, 53.25957151460096, 53.25957151460096, 53.433088708113466, 53.53515764547375, 53.50453696426567, 53.29019219580905, 53.29019219580905, 53.37184734569729, 53.759709307666405, 54.04550233227522, 54.04550233227522, 54.31088156941198, 54.504812550396544, 54.27005399446786, 54.27005399446786, 54.331295356884034, 54.96412276851785, 55.38260541169506, 56.301225847937694, 56.301225847937694, 58.06701846427077, 58.56715625733621, 58.43446663876782, 57.94453573943842, 57.94453573943842, 58.37322527635165, 59.46536290610679, 59.46536290610679, 60.14922478642075, 60.48605227970971, 60.924948710358976, 60.924948710358976, 60.975983179039126, 60.82287977299868, 60.64936257948619, 60.64936257948619, 60.64936257948619, 60.802465985526624, 61.55777612199279, 61.97625876517, 61.97625876517, 61.955844977697936, 62.047707021322196, 63.26232737590969, 64.00743061863983, 64.00743061863983, 64.64025803027364, 64.55860288038541, 63.79308585018322, 63.109223969869255, 63.109223969869255, 63.680810019086884, 64.18094781215233, 64.07887887479204, 63.803292743919236, 63.803292743919236, 63.91556857501557, 63.73184448776704, 63.38481010074204, 63.38481010074204, 62.90508609514867, 61.90481050901779, 62.027293233850145, 62.027293233850145, 62.660120645483964, 63.221499800965574, 63.119430863605274, 62.72136200790014, 62.72136200790014, 62.262051789778816, 61.8741898278097, 61.629224378145, 61.629224378145, 61.833362252865584, 62.068120808794255, 62.69074132669205, 62.69074132669205, 63.39501699447807, 63.86453410633543, 64.30343053698468, 64.89543037367437, 64.89543037367437]",62.106478973963554,2.410971299977973,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,323,avoid,normal,reward,None,65,-20,-19,reject,1.1065069999312982,None,-19,4233,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,324,avoid,normal,reward,None,90,-40,-36,reject,0.9847165000392124,None,-36,4197,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,325,avoid,normal,reward,None,50,-40,-39,accept,1.1857692999765277,success,0,4197,"[0.010206893736029314, 0.020413787472058628, 0.020413787472058628, 0.1428965123044104, 0.25517234340073286, 0.38786196196911393, 0.38786196196911393, 0.5409653680095536, 0.6022067304257296, 0.683861880313964, 0.683861880313964, 0.8675859675624916, 1.398344441836016, 2.08220632214998, 2.8171026711440907, 2.8171026711440907, 3.7255162136506996, 5.817929429536709, 8.277790819919774, 8.277790819919774, 9.604687005603585, 11.972686352362386, 14.59585804252192, 14.59585804252192, 17.678339950802773, 19.69930491053658, 21.863166382574793, 24.486338072734327, 24.486338072734327, 27.191164912782096, 29.98785379645412, 31.508680963122494, 34.33599052800261, 34.33599052800261, 36.530472681248916, 37.37764486133935, 38.45957559735846, 38.45957559735846, 39.49047186469742, 40.1437130638033, 40.511161238300346, 40.858195625325344, 40.858195625325344, 41.79722984904004, 42.501505516826064, 42.83833301011503, 42.83833301011503, 42.7566778602268, 43.113919140987825, 43.62426382778929, 44.44081532667163, 44.44081532667163, 44.82867728864075, 46.12495279311647, 48.02343502801792, 48.72771069580394, 48.72771069580394, 49.41157257611791, 51.156951404978926, 52.02453737254141, 52.02453737254141, 52.66757167791126, 52.81046819021567, 52.575709634286994, 52.677778571647295, 52.677778571647295, 52.8921233401039, 53.32081287701713, 53.64743347657007, 53.72908862645831, 53.72908862645831, 53.586192114153896, 53.79032998887448, 53.912812713706835, 53.912812713706835, 53.657640370306105, 53.36164045196126, 53.545364539209785, 53.657640370306105, 53.657640370306105, 53.84136445755463, 53.84136445755463, 53.81074377634655, 53.88219203249876, 53.88219203249876, 54.025088544803154, 53.94343339491493, 54.076123013483304, 54.076123013483304, 54.27005399446786, 53.95364028865095, 53.698467945250215, 53.698467945250215, 53.85157135129066, 53.85157135129066, 53.74950241393037, 53.586192114153896, 53.586192114153896, 53.565778326681844, 53.44329560184949, 53.44329560184949, 53.24936462086494, 53.208537045920814, 53.279985302073015, 53.239157727128905, 53.239157727128905, 53.05543363988038, 52.75943372153552, 52.61653720923112, 52.61653720923112, 52.54508895307891, 52.228675247262004, 51.963296010125234, 51.881640860237, 51.881640860237]",52.97946757830402,1.9153485000133514,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,326,avoid,normal,reward,None,75,-60,-51,reject,1.6757375999586657,None,-51,4146,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,327,avoid,normal,reward,None,100,-60,-63,reject,1.363022799952887,None,-63,4083,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,328,avoid,normal,reward,0.43799999999999994,55,-100,-95,accept,1.2839857999933884,success,0,4083,"[0.051034468680146564, 0.010206893736029314, -0.010206893736029314, 0.020413787472058628, 0.030620681208087943, 0.061241362416175886, 0.061241362416175886, 0.08165514988823451, 0.2959999183448501, 1.1431720984352831, 2.9702060771845304, 5.562757086135976, 8.716687250569034, 10.40082471701387, 14.105927143192512, 16.953650495544693, 19.66868422932849, 21.85295948883876, 23.751441723740214, 27.579026874751207, 30.416543333367358, 32.24357731211661, 36.51005889377686, 38.15336878527758, 39.68440284568197, 41.26647137476652, 43.31805701570841, 44.34895328304737, 45.430884019066475, 47.17626284792749, 48.21736600900248, 49.11557265777306, 49.88108968797526, 50.432261949720846, 51.49377889826789, 52.351157972094356, 52.52467516560685, 53.39226113316934, 53.74950241393037, 53.73929552019434, 53.86177824502669, 53.90260581997081, 53.545364539209785, 53.45350249558551, 53.963847182386985, 54.39253671930021, 55.14784685576638, 55.5357088177355, 55.392812305431086, 57.056535984403865, 58.19970808283915, 58.82232860073694, 59.077500944137675, 59.16936298776193, 59.05708715666561, 59.97570759290824, 60.618741898278095, 60.70039704816633, 60.71060394190236, 61.01681075398324, 61.44550029089647, 61.78232778418544, 61.24136241617588, 60.30232819246118, 60.81267287926265, 61.465914078368534, 61.619017484408964, 61.43529339716044, 61.42508650342441, 61.027017647719276, 60.65956947322222, 60.70039704816633, 60.945362497831034, 60.945362497831034, 60.53708674838987, 59.965500699172225, 59.74094903697957, 59.37350086248252, 58.965225113041356, 58.65901830096046, 57.60770824614945, 57.86288058955018, 58.58757004480827]",58.2596735835383,1.7788876999402419,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,329,avoid,normal,reward,None,100,-60,-58,reject,1.1549856000347063,None,-58,4025,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,7,330,avoid,normal,reward,None,75,-80,-85,reject,1.2333687000209466,None,-85,3940,"null",None,None,None
